,income,income_index,disparity,capacity,workload,total,actual,actual_avg
124,2.782559402207126e-06,2,1,0.868511373751352,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
125,2.782559402207126e-06,2,1,1.151395399326447,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
126,2.782559402207126e-06,2,1,1.5264179671752334,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
127,2.782559402207126e-06,2,1,2.023589647725158,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
128,2.782559402207126e-06,2,1,2.6826957952797246,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
129,2.782559402207126e-06,2,1,3.5564803062231287,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
130,2.782559402207126e-06,2,1,4.714866363457395,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
131,2.782559402207126e-06,2,1,6.25055192527397,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
132,2.782559402207126e-06,2,1,8.286427728546842,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
133,2.782559402207126e-06,2,1,10.985411419875572,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
134,2.782559402207126e-06,2,1,14.563484775012444,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
135,2.782559402207126e-06,2,1,19.306977288832496,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
136,2.782559402207126e-06,2,1,25.595479226995334,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
137,2.782559402207126e-06,2,1,33.9322177189533,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
138,2.782559402207126e-06,2,1,44.98432668969444,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
139,2.782559402207126e-06,2,1,59.636233165946365,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
140,2.782559402207126e-06,2,1,79.06043210907701,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
141,2.782559402207126e-06,2,1,104.81131341546852,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
142,2.782559402207126e-06,2,1,138.9495494373136,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
143,2.782559402207126e-06,2,1,184.20699693267164,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
144,2.782559402207126e-06,2,1,244.205309454865,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
145,2.782559402207126e-06,2,1,323.745754281764,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
146,2.782559402207126e-06,2,1,429.1934260128778,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
147,2.782559402207126e-06,2,1,568.9866029018293,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
148,2.782559402207126e-06,2,1,754.3120063354608,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
149,2.782559402207126e-06,2,1,1000.0,2.782559402207126e-06,87.75079330800368,87.68898709856228,2.7805995401624263e-06
150,4.641588833612782e-06,3,1,0.001,4.641588833612782e-06,146.37714545681249,77.31613808981876,2.451678655816171e-06
151,4.641588833612782e-06,3,1,0.0013257113655901094,4.641588833612782e-06,146.37714545681249,77.9446788417225,2.4716095523123575e-06
152,4.641588833612782e-06,3,1,0.0017575106248547913,4.641588833612782e-06,146.37714545681249,78.66639948946104,2.4944951639225344e-06
153,4.641588833612782e-06,3,1,0.002329951810515372,4.641588833612782e-06,146.37714545681249,79.50163019212557,2.52098015576248e-06
154,4.641588833612782e-06,3,1,0.0030888435964774815,4.641588833612782e-06,146.37714545681249,80.46561856903459,2.551548026669032e-06
155,4.641588833612782e-06,3,1,0.004094915062380427,4.641588833612782e-06,146.37714545681249,81.57700059935492,2.5867897196649836e-06
156,4.641588833612782e-06,3,1,0.005428675439323859,4.641588833612782e-06,146.37714545681249,82.86457734179929,2.6276185103310277e-06
