#time,"""value"" from seq_no"
2018-03-31T20:53:19.076Z,134871
2018-03-31T20:53:19.088Z,134871
2018-03-31T20:53:19.115Z,134871
2018-03-31T20:53:24.986Z,134872
2018-03-31T20:53:24.987Z,134872
2018-03-31T20:53:25.021Z,134872
2018-03-31T20:53:30.894Z,134873
2018-03-31T20:53:30.896Z,134873
2018-03-31T20:53:36.738Z,134874
2018-03-31T20:53:36.744Z,134874
2018-03-31T20:53:42.639Z,134875
2018-03-31T20:53:42.644Z,134875
2018-03-31T20:53:48.544Z,134876
2018-03-31T20:53:48.579Z,134876
2018-03-31T20:53:54.319Z,134877
2018-03-31T20:53:54.319Z,134877
2018-03-31T20:54:00.03Z,134878
2018-03-31T20:54:00.034Z,134878
2018-03-31T20:54:05.74Z,134879
2018-03-31T20:54:05.743Z,134879
2018-03-31T20:54:11.512Z,134880
2018-03-31T20:54:11.516Z,134880
2018-03-31T20:54:17.339Z,134881
2018-03-31T20:54:17.345Z,134881
2018-03-31T20:54:17.375Z,134881
2018-03-31T20:54:17.378Z,134881
2018-03-31T20:54:23.194Z,134882
2018-03-31T20:54:23.196Z,134882
2018-03-31T20:54:28.869Z,134883
2018-03-31T20:54:28.87Z,134883
2018-03-31T20:54:34.549Z,134884
2018-03-31T20:54:34.555Z,134884
2018-03-31T20:54:46.028Z,134886
2018-03-31T20:54:46.031Z,134886
2018-03-31T20:54:46.064Z,134886
2018-03-31T20:54:46.067Z,134886
2018-03-31T20:54:51.84Z,134887
2018-03-31T20:54:51.842Z,134887
2018-03-31T20:54:57.661Z,134888
2018-03-31T20:54:57.694Z,134888
2018-03-31T20:54:57.697Z,134888
2018-03-31T20:55:03.449Z,134889
2018-03-31T20:55:03.464Z,134889
2018-03-31T20:55:03.484Z,134889
2018-03-31T20:55:03.485Z,134889
2018-03-31T20:55:09.298Z,134890
2018-03-31T20:55:09.301Z,134890
2018-03-31T20:55:15.1Z,134891
2018-03-31T20:55:20.814Z,134892
2018-03-31T20:55:26.633Z,134893
2018-03-31T20:55:26.635Z,134893
2018-03-31T20:55:26.671Z,134893
2018-03-31T20:55:26.674Z,134893
2018-03-31T20:55:32.477Z,134894
2018-03-31T20:55:38.185Z,134895
2018-03-31T20:55:38.187Z,134895
2018-03-31T20:55:43.95Z,134896
2018-03-31T20:55:43.955Z,134896
2018-03-31T20:55:43.99Z,134896
2018-03-31T20:55:43.995Z,134896
2018-03-31T20:55:49.795Z,134897
2018-03-31T20:55:49.798Z,134897
2018-03-31T20:56:07.096Z,134900
2018-03-31T20:56:07.1Z,134900
2018-03-31T20:56:12.772Z,134901
2018-03-31T20:56:12.805Z,134901
2018-03-31T20:56:18.461Z,134902
2018-03-31T20:56:18.466Z,134902
2018-03-31T20:56:18.488Z,134902
2018-03-31T20:56:18.499Z,134902
2018-03-31T20:56:24.182Z,134903
2018-03-31T20:56:24.19Z,134903
2018-03-31T20:56:29.906Z,134904
2018-03-31T20:56:29.909Z,134904
2018-03-31T20:56:29.942Z,134904
2018-03-31T20:56:35.666Z,134905
2018-03-31T20:56:35.668Z,134905
2018-03-31T20:56:41.326Z,134906
2018-03-31T20:56:41.328Z,134906
2018-03-31T20:56:47.167Z,134907
2018-03-31T20:56:47.17Z,134907
2018-03-31T20:56:47.202Z,134907
2018-03-31T20:56:58.868Z,134909
2018-03-31T20:57:04.677Z,134910
2018-03-31T20:57:10.321Z,134911
2018-03-31T20:57:10.325Z,134911
2018-03-31T20:57:10.357Z,134911
2018-03-31T20:57:10.359Z,134911
2018-03-31T20:57:16.156Z,134912
2018-03-31T20:57:16.161Z,134912
2018-03-31T20:57:21.826Z,134913
2018-03-31T20:57:21.861Z,134913
2018-03-31T20:57:27.684Z,134914
2018-03-31T20:57:33.46Z,134915
2018-03-31T20:57:33.465Z,134915
2018-03-31T20:57:33.494Z,134915
2018-03-31T20:57:33.503Z,134915
2018-03-31T20:57:39.267Z,134916
